Date,BRL=X,BTC-USD,ITUB4.SA,PETR4.SA,^BVSP
2021-01-28,5.412600040435791,33466.09765625,25.05147361755371,10.907751083374023,119314.0
2021-01-29,5.437989234924316,34316.38671875,24.15647315979004,10.487316131591797,116007.0
2021-01-30,,34269.5234375,,,
2021-01-31,,33114.359375,,,
2021-02-01,5.4608001708984375,33537.17578125,24.80035400390625,10.817378044128418,117365.0
2021-02-02,5.430500030517578,35510.2890625,24.271608352661133,11.26138973236084,118234.0
2021-02-03,5.3668999671936035,37472.08984375,24.15220832824707,11.371410369873047,119725.0
2021-02-04,5.3520002365112305,36926.06640625,24.04986572265625,11.324256896972656,119261.0
2021-02-05,5.4257001876831055,38144.30859375,23.94751739501953,11.332117080688477,119925.0
2021-02-06,,39266.01171875,,,
2021-02-07,,38903.44140625,,,
2021-02-08,5.369200229644775,46196.46484375,23.50406265258789,11.045278549194336,119516.0
2021-02-09,5.364299774169922,46481.10546875,23.785486221313477,10.821306228637695,119429.0
2021-02-10,5.376699924468994,44918.18359375,23.61492156982422,10.923468589782715,118430.0
2021-02-11,5.384900093078613,47909.33203125,23.61492156982422,11.033489227294922,119235.0
2021-02-12,5.3653998374938965,47504.8515625,23.674617767333984,11.174943923950195,119116.0
2021-02-13,,47105.515625,,,
2021-02-14,,48717.2890625,,,
2021-02-15,5.368599891662598,47945.05859375,,,
2021-02-16,5.368000030517578,49199.87109375,,,
2021-02-17,5.3694000244140625,52149.0078125,23.973112106323242,11.626813888549805,120391.0
2021-02-18,5.409800052642822,51679.796875,23.802547454833984,11.501077651977539,119140.0
2021-02-19,5.42579984664917,55888.1328125,23.55522918701172,10.738790512084961,118748.0
2021-02-20,,56099.51953125,,,
2021-02-21,,57539.9453125,,,
2021-02-22,5.38070011138916,54207.3203125,21.841028213500977,8.51480484008789,112668.0
2021-02-23,5.463399887084961,48824.42578125,23.23967170715332,9.45390796661377,115227.0
2021-02-24,5.439599990844727,49705.33203125,22.89854621887207,9.587505340576172,115668.0
2021-02-25,5.402964115142822,47093.8515625,22.182165145874023,9.112059593200684,112256.0
2021-02-26,5.528025150299072,46339.76171875,21.9137020111084,8.738775253295898,110035.0
2021-02-27,,46188.453125,,,
2021-02-28,,45137.76953125,,,
2021-03-01,5.597599983215332,49631.2421875,21.257186889648438,8.644472122192383,110335.0
2021-03-02,5.640699863433838,48378.98828125,22.115373611450195,8.640542984008789,111540.0
2021-03-03,5.675099849700928,50538.2421875,22.16686248779297,8.32619857788086,111184.0
2021-03-04,5.617499828338623,48561.16796875,22.861989974975586,8.730916976928711,112690.0
2021-03-05,5.668300151824951,48927.3046875,23.711589813232422,8.797714233398438,115202.0
2021-03-06,,48912.3828125,,,
2021-03-07,,51206.69140625,,,
2021-03-08,5.689499855041504,52246.5234375,22.956398010253906,8.290834426879883,110612.0
2021-03-09,5.874599933624268,54824.1171875,23.273914337158203,8.483369827270508,111331.0
2021-03-10,5.801499843597412,56008.55078125,23.445552825927734,8.778068542480469,112776.0
2021-03-11,5.67110013961792,57805.12109375,23.47988510131836,9.151351928710938,114984.0
2021-03-12,5.534800052642822,57332.08984375,23.325416564941406,9.10420036315918,114160.0
2021-03-13,,61243.0859375,,,
2021-03-14,,59302.31640625,,,
2021-03-15,5.4951558113098145,55907.19921875,23.60002899169922,9.292807579040527,114851.0
2021-03-16,5.614500045776367,56804.90234375,23.119447708129883,9.14742374420166,114019.0
2021-03-17,5.6234002113342285,58870.89453125,24.020540237426758,9.461766242980957,116549.0
2021-03-18,5.583099842071533,57858.921875,24.157848358154297,9.131706237792969,114835.0
2021-03-19,5.558700084686279,58346.65234375,24.209341049194336,9.43033218383789,116222.0
2021-03-20,,58313.64453125,,,
2021-03-21,,57523.421875,,,
2021-03-22,5.493563175201416,54529.14453125,24.346647262573242,9.241724967956543,114979.0
2021-03-23,5.505499839782715,54738.9453125,23.728750228881836,8.958815574645996,113262.0
2021-03-24,5.520400047302246,52774.265625,23.316823959350586,8.9666748046875,112064.0
2021-03-25,5.61959981918335,51704.16015625,23.728750228881836,9.115987777709961,113750.0
2021-03-26,5.648399829864502,55137.3125,24.133394241333008,9.218151092529297,114781.0
2021-03-27,,55973.51171875,,,
2021-03-28,,55950.74609375,,,
2021-03-29,5.752399921417236,57750.19921875,24.124794006347656,9.36353588104248,115419.0
2021-03-30,5.780799865722656,58917.69140625,24.520292282104492,9.36353588104248,116850.0
2021-03-31,5.771599769592285,58918.83203125,24.047422409057617,9.469626426696777,116634.0
2021-04-01,5.63129997253418,59095.80859375,23.311927795410156,9.387109756469727,115253.0
2021-04-02,5.707399845123291,59384.3125,,,
2021-04-03,,57603.890625,,,
2021-04-04,,58758.5546875,,,
2021-04-05,5.710599899291992,59057.87890625,23.613006591796875,9.446051597595215,117518.0
2021-04-06,5.662700176239014,58192.359375,23.33773422241211,9.438191413879395,117499.0
2021-04-07,5.593200206756592,56048.9375,23.131277084350586,9.43033218383789,117624.0
2021-04-08,5.612100124359131,58323.953125,22.950639724731445,9.312453269958496,118313.0
2021-04-09,5.5665998458862305,58245.00390625,22.91622543334961,9.292807579040527,117670.0
2021-04-10,,59793.234375,,,
2021-04-11,,60204.96484375,,,
2021-04-12,5.679299831390381,59893.453125,23.483972549438477,9.387109756469727,118812.0
2021-04-13,5.7322001457214355,63503.45703125,23.475372314453125,9.418542861938477,119297.0
2021-04-14,5.716300010681152,63109.6953125,23.77644920349121,9.567859649658203,120295.0
2021-04-15,5.652900218963623,63314.01171875,23.77644920349121,9.378117561340332,120701.0
2021-04-16,5.614999771118164,61572.7890625,24.043119430541992,9.321255683898926,121114.0
2021-04-17,,60683.8203125,,,
2021-04-18,,56216.18359375,,,
2021-04-19,5.5858001708984375,55724.265625,23.68182373046875,9.861440658569336,120934.0
2021-04-20,5.545300006866455,56473.03125,23.5613956451416,9.674610137939453,120062.0
2021-04-21,5.56790018081665,53906.08984375,,,
2021-04-22,5.56790018081665,51762.2734375,23.56999969482422,9.629932403564453,119371.0
2021-04-23,5.44320011138916,51093.65234375,23.68182373046875,9.621809005737305,120530.0
2021-04-24,,50050.8671875,,,
2021-04-25,,49004.25390625,,,
2021-04-26,5.477200031280518,54021.75390625,23.66462516784668,9.658364295959473,120595.0
2021-04-27,5.435299873352051,55033.1171875,23.30332374572754,9.38217830657959,119388.0
2021-04-28,5.451000213623047,54824.703125,24.317472457885742,9.723349571228027,121053.0
2021-04-29,5.341400146484375,53555.109375,23.55027961730957,9.593378067016602,120066.0
2021-04-30,5.336400032043457,57750.17578125,23.731304168701172,9.593378067016602,118894.0
2021-05-01,,57828.05078125,,,
2021-05-02,,56631.078125,,,
2021-05-03,5.439700126647949,57200.29296875,24.063358306884766,9.516210556030273,119209.0
2021-05-04,5.4380998611450195,53333.5390625,23.037002563476562,9.296884536743164,117712.0
2021-05-05,5.442599773406982,57424.0078125,23.692493438720703,9.678671836853027,119564.0
2021-05-06,5.352700233459473,56396.515625,23.545867919921875,9.54464054107666,119921.0
2021-05-07,5.273430824279785,57356.40234375,23.83048439025879,9.902055740356445,122038.0
2021-05-08,,58803.77734375,,,
2021-05-09,,58232.31640625,,,
2021-05-10,5.235499858856201,55859.796875,24.184106826782227,10.032026290893555,121909.0
2021-05-11,5.2221999168396,56704.57421875,24.132354736328125,10.214795112609863,122964.0
2021-05-12,5.221199989318848,49150.53515625,23.778738021850586,10.064519882202148,119710.0
2021-05-13,5.303100109100342,49716.19140625,24.468730926513672,10.149811744689941,120706.0
2021-05-14,5.307700157165527,49880.53515625,25.012096405029297,10.681873321533203,121881.0
2021-05-15,,46760.1875,,,
2021-05-16,,46456.05859375,,,
2021-05-17,5.269499778747559,43537.51171875,24.994842529296875,10.828089714050293,122938.0
2021-05-18,5.271500110626221,42909.40234375,24.943092346191406,10.702181816101074,122980.0
2021-05-19,5.259500026702881,37002.44140625,25.124217987060547,10.620950698852539,122636.0
2021-05-20,5.308000087738037,40782.73828125,25.26221466064453,10.531598091125488,122701.0
2021-05-21,5.281300067901611,37304.69140625,25.382965087890625,10.53972053527832,122592.0
2021-05-22,,37536.6328125,,,
2021-05-23,,34770.58203125,,,
2021-05-24,5.361800193786621,38705.98046875,25.313953399658203,10.718427658081055,124032.0
2021-05-25,5.31850004196167,38402.22265625,25.05370330810547,10.495043754577637,122988.0
2021-05-26,5.330699920654297,39294.19921875,25.399272918701172,10.596580505371094,123989.0
2021-05-27,5.310500144958496,38436.96875,25.18328857421875,10.52347469329834,124367.0
2021-05-28,5.2382001876831055,35697.60546875,25.597957611083984,10.96212100982666,125561.0
2021-05-29,,34616.06640625,,,
2021-05-30,,35678.12890625,,,
2021-05-31,5.23799991607666,37332.85546875,25.52021598815918,10.913383483886719,126216.0
2021-06-01,5.216599941253662,36684.92578125,26.449398040771484,11.083969116210938,128267.0
2021-06-02,5.149700164794922,37575.1796875,27.33104705810547,11.319537162780762,129601.0
2021-06-03,5.07450008392334,39208.765625,,,
2021-06-04,5.076300144195557,36894.40625,27.901525497436523,11.575414657592773,130126.0
2021-06-05,,35551.95703125,,,
2021-06-06,,35862.37890625,,,
2021-06-07,5.044600009918213,33560.70703125,28.558443069458008,11.490124702453613,130776.0
2021-06-08,5.045199871063232,33472.6328125,28.359642028808594,11.640400886535645,129787.0
2021-06-09,5.034900188446045,37345.12109375,28.74859619140625,11.640400886535645,129907.0
2021-06-10,5.061500072479248,36702.59765625,28.64487648010254,11.648523330688477,130076.0
2021-06-11,5.054500102996826,37334.3984375,28.307771682739258,11.603846549987793,129441.0
2021-06-12,,35552.515625,,,
2021-06-13,,39097.859375,,,
2021-06-14,5.117000102996826,40218.4765625,28.212692260742188,11.67695426940918,130208.0
2021-06-15,5.058599948883057,40406.26953125,28.212692260742188,11.790678024291992,130091.0
2021-06-16,5.043799877166748,38347.0625,28.774532318115234,11.835352897644043,129259.0
2021-06-17,5.054299831390381,38053.50390625,28.43743324279785,11.425138473510742,128057.0
2021-06-18,5.007400035858154,35787.24609375,27.91880989074707,11.502307891845703,128405.0
2021-06-19,,35615.87109375,,,
2021-06-20,,35698.296875,,,
2021-06-21,5.0960001945495605,31676.693359375,28.048458099365234,11.758185386657715,129265.0
2021-06-22,5.0131001472473145,32505.66015625,27.68543243408203,11.819108009338379,128767.0
2021-06-23,4.957099914550781,33723.02734375,27.48664093017578,11.900338172912598,128428.0
2021-06-24,4.965199947357178,34662.4375,27.49527931213379,12.042491912841797,129514.0
2021-06-25,4.912700176239014,31637.779296875,26.622276306152344,11.819108009338379,127256.0
2021-06-26,,32186.27734375,,,
2021-06-27,,34649.64453125,,,
2021-06-28,4.91540002822876,34434.3359375,26.319746017456055,11.798799514770508,127429.0
2021-06-29,4.924799919128418,35867.77734375,26.06043815612793,11.851600646972656,127327.0
2021-06-30,4.955100059509277,35040.8359375,25.757917404174805,11.953139305114746,126802.0
2021-07-01,4.969200134277344,33572.1171875,25.675758361816406,11.802862167358398,125666.0
2021-07-02,5.045102119445801,33897.046875,25.952495574951172,11.851600646972656,127622.0
2021-07-03,,34668.546875,,,
2021-07-04,,35287.78125,,,
2021-07-05,5.059199810028076,33746.00390625,25.597930908203125,11.717568397521973,126920.0
2021-07-06,5.088459014892578,34235.1953125,25.554683685302734,11.238306999206543,125095.0
2021-07-07,5.195300102233887,33855.328125,25.6671085357666,11.392644882202148,127019.0
2021-07-08,5.231200218200684,32877.37109375,25.329835891723633,11.165199279785156,125428.0
2021-07-09,5.257999897003174,33798.01171875,,,
2021-07-10,,33520.51953125,,,
2021-07-11,,34240.1875,,,
2021-07-12,5.257900238037109,33155.84765625,25.675758361816406,11.262674331665039,127594.0
2021-07-13,5.172699928283691,32702.025390625,25.8314266204834,11.331721305847168,128168.0
2021-07-14,5.162399768829346,32822.34765625,25.86600685119629,11.238306999206543,128407.0
2021-07-15,5.069900035858154,31780.73046875,25.554683685302734,10.998675346374512,127468.0
2021-07-16,5.110000133514404,31421.5390625,25.139577865600586,10.836215019226074,125960.0
2021-07-17,,31533.068359375,,,
2021-07-18,,31796.810546875,,,
2021-07-19,5.1153998374938965,30817.83203125,24.992568969726562,10.65750503540039,124395.0
2021-07-20,5.250899791717529,29807.34765625,25.321197509765625,10.799660682678223,125401.0
2021-07-21,5.219900131225586,32110.693359375,25.424968719482422,10.949935913085938,125929.0
2021-07-22,5.187300205230713,32313.10546875,25.1655330657959,10.925567626953125,126147.0
2021-07-23,5.1996002197265625,33581.55078125,25.09634780883789,10.860583305358887,125053.0
2021-07-24,,34292.4453125,,,
2021-07-25,,35350.1875,,,
2021-07-26,5.19789981842041,37337.53515625,25.537389755249023,11.157075881958008,126004.0
2021-07-27,5.1753997802734375,39406.94140625,25.788188934326172,11.027106285095215,124612.0
2021-07-28,5.169099807739258,39995.90625,26.627033233642578,11.254551887512207,126286.0
